epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.256,1.61142,4.04777,0.30269,2.67749,1.60906,0.30981,0.44508,0.35488,0.19057,0.28814,0.38265,0.27822,0.12085,1.48884,2.09863,0.07196,1.84783,1.5366,0.000332947,0.000332947,0.000332947
2,432.482,1.48472,3.37825,0.21463,2.00589,1.46478,0.36714,0.58041,0.48105,0.26104,0.3387,0.41225,0.34162,0.14253,1.42152,2.06504,0.06739,1.57031,1.45987,0.00064979,0.00064979,0.00064979
3,640.504,1.43611,3.2147,0.1967,1.80173,1.42446,0.45751,0.62359,0.53166,0.30541,0.46675,0.46274,0.40413,0.1951,1.38472,1.91588,0.0566,1.45468,1.4573,0.000950133,0.000950133,0.000950133
4,846.362,1.39301,3.09585,0.18413,1.66495,1.39609,0.54545,0.57321,0.57401,0.34764,0.52953,0.45163,0.43127,0.22144,1.26075,1.82264,0.05193,1.42458,1.34641,0.00092575,0.00092575,0.00092575
5,1054.61,1.33738,2.95647,0.17001,1.5665,1.35814,0.63033,0.64542,0.68623,0.42525,0.63759,0.50601,0.52493,0.27405,1.20388,1.73811,0.03905,1.17946,1.32985,0.000901,0.000901,0.000901
6,1262.97,1.30851,2.86668,0.16475,1.48604,1.33661,0.68399,0.67034,0.71808,0.44523,0.59433,0.54954,0.52297,0.27566,1.20116,1.72164,0.04649,1.1427,1.30361,0.00087625,0.00087625,0.00087625
7,1471.52,1.2769,2.79182,0.15723,1.42632,1.31522,0.69362,0.71042,0.7553,0.4663,0.62244,0.56015,0.53323,0.29095,1.18493,1.65735,0.04043,1.05549,1.30344,0.0008515,0.0008515,0.0008515
8,1678.77,1.26264,2.7219,0.15316,1.37524,1.30651,0.69156,0.70699,0.75626,0.48005,0.62284,0.56508,0.55018,0.29793,1.15944,1.64359,0.03504,1.03947,1.27661,0.00082675,0.00082675,0.00082675
9,1885.56,1.2414,2.70341,0.14871,1.32912,1.29431,0.74113,0.7335,0.79881,0.5106,0.66994,0.59714,0.58311,0.33277,1.15653,1.57819,0.0339,0.98539,1.28548,0.000802,0.000802,0.000802
10,2093.27,1.22035,2.63879,0.14854,1.27936,1.28091,0.73307,0.76822,0.81552,0.5275,0.69175,0.58588,0.57783,0.32772,1.11392,1.55731,0.03212,0.95082,1.25433,0.00077725,0.00077725,0.00077725
11,2301.24,1.20413,2.61553,0.14441,1.24453,1.26996,0.74627,0.7418,0.81071,0.52971,0.67019,0.60553,0.59011,0.34899,1.10316,1.53894,0.03903,0.93525,1.25603,0.0007525,0.0007525,0.0007525
12,2501.45,1.18957,2.59812,0.14186,1.23357,1.26056,0.76669,0.75783,0.82571,0.54411,0.69665,0.58717,0.58209,0.34389,1.1118,1.51162,0.02893,0.89644,1.24777,0.00072775,0.00072775,0.00072775
13,2706.56,1.17768,2.59852,0.13713,1.2052,1.25024,0.78462,0.74888,0.83919,0.54983,0.67449,0.60228,0.5949,0.35547,1.08497,1.48085,0.03053,0.87924,1.22919,0.000703,0.000703,0.000703
14,2909.16,1.17583,2.52875,0.13552,1.17688,1.24803,0.77132,0.80232,0.8503,0.56869,0.67507,0.62231,0.57808,0.3457,1.06754,1.45766,0.02865,0.84425,1.21843,0.00067825,0.00067825,0.00067825
15,3112.68,1.15993,2.50869,0.1348,1.15684,1.24101,0.76976,0.81372,0.85859,0.57681,0.70738,0.62041,0.61263,0.37876,1.04788,1.42237,0.02719,0.84721,1.21328,0.0006535,0.0006535,0.0006535
16,3311.72,1.14812,2.47008,0.13033,1.13641,1.23165,0.84306,0.79302,0.88238,0.59026,0.72854,0.64424,0.63159,0.39025,1.05753,1.42499,0.02789,0.79175,1.21162,0.00062875,0.00062875,0.00062875
17,3513.71,1.13496,2.43585,0.12998,1.11605,1.22269,0.81528,0.81976,0.88279,0.60001,0.69055,0.64163,0.62236,0.3862,1.03947,1.41129,0.02602,0.7843,1.2003,0.000604,0.000604,0.000604
18,3714.6,1.12694,2.4348,0.12378,1.10094,1.21368,0.79808,0.81499,0.87275,0.59258,0.72643,0.64149,0.62303,0.39333,1.03799,1.3886,0.02522,0.78876,1.20154,0.00057925,0.00057925,0.00057925
19,3912.23,1.12112,2.41357,0.12796,1.07832,1.21067,0.83757,0.82682,0.89674,0.6129,0.7382,0.63255,0.61833,0.39282,1.022,1.38747,0.02784,0.75416,1.18451,0.0005545,0.0005545,0.0005545
20,4115.28,1.11574,2.42198,0.12833,1.07108,1.21046,0.83497,0.83009,0.89626,0.60841,0.68813,0.66268,0.61012,0.38777,1.0221,1.37947,0.02514,0.74044,1.19079,0.00052975,0.00052975,0.00052975
21,4314.91,1.10296,2.38032,0.12231,1.05913,1.20173,0.82457,0.84742,0.8974,0.61239,0.70405,0.64993,0.62072,0.39701,1.01962,1.358,0.0216,0.72399,1.18115,0.000505,0.000505,0.000505
22,4515.49,1.09328,2.34493,0.12005,1.04291,1.19208,0.82707,0.83695,0.89734,0.61653,0.71494,0.64132,0.61865,0.39806,1.01718,1.34491,0.02517,0.72439,1.18388,0.00048025,0.00048025,0.00048025
23,4716.13,1.08085,2.30724,0.11994,1.01542,1.18674,0.85857,0.82808,0.91153,0.62519,0.74057,0.64979,0.63791,0.41368,1.01418,1.34011,0.02324,0.70167,1.17904,0.0004555,0.0004555,0.0004555
24,4914.08,1.07643,2.30556,0.11775,1.01099,1.18193,0.8428,0.84831,0.91218,0.62593,0.73549,0.65663,0.62827,0.40538,1.01251,1.33044,0.02383,0.69776,1.18037,0.00043075,0.00043075,0.00043075
25,5111.08,1.0822,2.29478,0.11988,1.00576,1.18395,0.83714,0.85536,0.91417,0.63512,0.72083,0.66733,0.61536,0.39479,0.99155,1.32621,0.02486,0.68999,1.17309,0.000406,0.000406,0.000406
26,5308.82,1.06676,2.26178,0.114,0.99525,1.17375,0.84845,0.85513,0.91848,0.63525,0.73936,0.6504,0.63299,0.41396,1.00129,1.30987,0.02122,0.66757,1.1722,0.00038125,0.00038125,0.00038125
27,5503.85,1.05702,2.21991,0.11477,0.9797,1.16774,0.86993,0.8507,0.91811,0.63866,0.71254,0.66985,0.61675,0.40617,1.0009,1.30099,0.02145,0.67192,1.17252,0.0003565,0.0003565,0.0003565
28,5703.1,1.05731,2.23261,0.11355,0.95738,1.16914,0.86856,0.83958,0.92129,0.64774,0.72541,0.65812,0.61813,0.40868,0.99692,1.28686,0.02556,0.65747,1.1662,0.00033175,0.00033175,0.00033175
29,5904.32,1.04738,2.19994,0.11388,0.95887,1.16324,0.87294,0.84364,0.91927,0.64535,0.72833,0.65233,0.61718,0.4087,0.99501,1.28648,0.02228,0.65887,1.16563,0.000307,0.000307,0.000307
30,6104.46,1.042,2.20621,0.1119,0.94101,1.16003,0.88355,0.83113,0.92057,0.64441,0.71344,0.66287,0.61565,0.40768,0.98942,1.28088,0.02286,0.65429,1.16379,0.00028225,0.00028225,0.00028225
31,6298.45,0.99497,1.28217,0.02563,0.71298,1.15168,0.8734,0.86342,0.92667,0.65188,0.74785,0.67003,0.62307,0.41543,0.98666,1.26666,0.01754,0.64645,1.16611,0.0002575,0.0002575,0.0002575
32,6489.11,0.97631,1.24968,0.02096,0.68278,1.14308,0.85427,0.87946,0.92641,0.65341,0.73598,0.67001,0.61367,0.40725,0.97911,1.2651,0.0173,0.63406,1.15897,0.00023275,0.00023275,0.00023275
33,6678.5,0.96439,1.23908,0.02147,0.6703,1.13625,0.87944,0.8568,0.92275,0.65865,0.71286,0.68136,0.61245,0.4061,0.97791,1.25206,0.02053,0.628,1.15695,0.000208,0.000208,0.000208
34,6868.44,0.95533,1.21131,0.01964,0.65517,1.13307,0.87576,0.86838,0.92608,0.66058,0.72928,0.68027,0.60857,0.40346,0.9697,1.24674,0.01944,0.61763,1.15229,0.00018325,0.00018325,0.00018325
35,7055.99,0.94032,1.19095,0.02039,0.64085,1.12273,0.88486,0.86883,0.93016,0.66349,0.71795,0.68331,0.61229,0.40785,0.96549,1.23529,0.01893,0.61112,1.1475,0.0001585,0.0001585,0.0001585
36,7244.26,0.93621,1.18119,0.01858,0.63314,1.11647,0.88952,0.86847,0.93122,0.66826,0.72665,0.67981,0.59673,0.39662,0.96551,1.23644,0.01738,0.60183,1.14668,0.00013375,0.00013375,0.00013375
37,7431.72,0.92093,1.16965,0.01891,0.61903,1.10688,0.87648,0.87733,0.92999,0.66672,0.73437,0.67645,0.59718,0.39916,0.9637,1.23181,0.01938,0.60014,1.14651,0.000109,0.000109,0.000109
38,7622.04,0.91731,1.15589,0.01739,0.61453,1.10425,0.88701,0.876,0.93171,0.67268,0.72928,0.68562,0.6029,0.4044,0.95532,1.22389,0.019,0.5948,1.14163,8.425e-05,8.425e-05,8.425e-05
39,7810.59,0.91356,1.14208,0.01954,0.60679,1.09955,0.88335,0.87583,0.93287,0.6717,0.71814,0.68847,0.60522,0.40496,0.95805,1.22361,0.0192,0.59475,1.14186,5.95e-05,5.95e-05,5.95e-05
40,8001.06,0.90073,1.12608,0.01837,0.59748,1.09611,0.89467,0.8627,0.92991,0.67289,0.71988,0.6853,0.59865,0.39806,0.95403,1.22284,0.02025,0.59341,1.13943,3.475e-05,3.475e-05,3.475e-05
