epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.89,0.75132,1.81573,1.19581,0.55395,0.65405,0.69471,0.63322,0.49424,1.11967,1.00549,0.000332949,0.000332949,0.000332949
2,396.415,0.55848,1.19762,1.04593,0.79823,0.69558,0.834,0.73967,0.48579,0.81377,1.01788,0.000649792,0.000649792,0.000649792
3,585.566,0.52202,1.06801,1.02518,0.87633,0.75805,0.901,0.83401,0.391,0.63211,0.93006,0.000950135,0.000950135,0.000950135
4,773.713,0.49656,0.98122,1.01395,0.89784,0.86348,0.94607,0.87674,0.40841,0.49003,0.95513,0.00092575,0.00092575,0.00092575
5,960.579,0.47481,0.91799,1.00277,0.92667,0.86323,0.95385,0.87338,0.45929,0.46479,0.96839,0.000901,0.000901,0.000901
6,1149.11,0.45822,0.86983,0.9937,0.95331,0.88506,0.96851,0.90138,0.37874,0.40037,0.92233,0.00087625,0.00087625,0.00087625
7,1336.21,0.44846,0.82899,0.99267,0.91002,0.86968,0.96096,0.87136,0.47839,0.45854,0.99145,0.0008515,0.0008515,0.0008515
8,1525.2,0.44066,0.80299,0.98855,0.94399,0.92479,0.98116,0.91269,0.40896,0.36391,0.94164,0.00082675,0.00082675,0.00082675
9,1713.86,0.42876,0.77604,0.98305,0.95482,0.92116,0.98295,0.93617,0.29095,0.31985,0.85985,0.000802,0.000802,0.000802
10,1900.94,0.42702,0.75603,0.982,0.96041,0.93828,0.98317,0.90835,0.39387,0.35364,0.93813,0.00077725,0.00077725,0.00077725
11,2088.71,0.42014,0.74314,0.98172,0.96011,0.93927,0.98456,0.90826,0.40456,0.32941,0.93413,0.0007525,0.0007525,0.0007525
12,2273.99,0.41007,0.71879,0.97882,0.95946,0.95555,0.98948,0.92722,0.35665,0.30081,0.90841,0.00072775,0.00072775,0.00072775
13,2460.72,0.40785,0.70342,0.97691,0.96511,0.95388,0.99028,0.91911,0.41566,0.29155,0.95172,0.000703,0.000703,0.000703
14,2646.54,0.40142,0.69002,0.97169,0.96857,0.9508,0.99053,0.93563,0.34114,0.26813,0.89885,0.00067825,0.00067825,0.00067825
15,2834.61,0.39915,0.67621,0.97286,0.97934,0.96715,0.9922,0.91688,0.42577,0.26895,0.95451,0.0006535,0.0006535,0.0006535
16,3022.12,0.39626,0.66495,0.9715,0.97714,0.96449,0.99119,0.93544,0.34421,0.25751,0.90096,0.00062875,0.00062875,0.00062875
17,3211.81,0.39306,0.65531,0.97246,0.97652,0.95881,0.99267,0.93527,0.34894,0.25924,0.91168,0.000604,0.000604,0.000604
18,3400.45,0.38809,0.63777,0.97042,0.9781,0.9701,0.99313,0.92458,0.40833,0.26934,0.93763,0.00057925,0.00057925,0.00057925
19,3587.52,0.38559,0.62621,0.9678,0.9774,0.97692,0.99318,0.93865,0.34814,0.24588,0.89619,0.0005545,0.0005545,0.0005545
20,3775.09,0.38002,0.62285,0.96593,0.97708,0.97674,0.99291,0.9288,0.39718,0.24411,0.93511,0.00052975,0.00052975,0.00052975
21,3960.38,0.37732,0.60611,0.9662,0.98334,0.97566,0.99373,0.93612,0.35488,0.23284,0.90911,0.000505,0.000505,0.000505
22,4146.85,0.37721,0.60135,0.96504,0.99086,0.96864,0.99361,0.93108,0.38584,0.24562,0.92501,0.00048025,0.00048025,0.00048025
23,4331.65,0.37336,0.58421,0.96405,0.98112,0.98027,0.9939,0.93752,0.33682,0.22477,0.8992,0.0004555,0.0004555,0.0004555
24,4518.41,0.37086,0.57845,0.9623,0.98344,0.97472,0.9936,0.93283,0.34869,0.22595,0.91268,0.00043075,0.00043075,0.00043075
